url,name,birthday,congress_term,total_bills
https://www.congress.gov/member/john-boehner/B000589,Representative John A. Boehner,(1949 - ),In Congress 1991 - 2015,1871
https://www.congress.gov/member/corinne-boggs/B000592,Representative Corinne C. (Lindy) Boggs,(1916 - 2013),In Congress 1973 - 1991,1365
https://www.congress.gov/member/edward-boland/B000600,Representative Edward P. Boland,(1911 - 2001),In Congress 1953 - 1989,1726
https://www.congress.gov/member/richard-bolling/B000605,Representative Richard Bolling,(1916 - 1991),In Congress 1949 - 1983,392
https://www.congress.gov/member/suzanne-bonamici/B001278,Representative Suzanne Bonamici,(1954 - ),In Congress 2012 - Present |,2135
https://www.congress.gov/member/christopher-bond/B000611,Senator Christopher S. Bond,(1939 - ),In Congress 1987 - 2011,3367
https://www.congress.gov/member/william-boner/B000615,Representative William H. Boner,(1945 - ),In Congress 1979 - 1989,1241
https://www.congress.gov/member/henry-bonilla/B000617,Representative Henry Bonilla,(1954 - ),In Congress 1993 - 2007,1066
https://www.congress.gov/member/david-bonior/B000619,Representative David E. Bonior,(1945 - ),In Congress 1977 - 2003,5791
https://www.congress.gov/member/don-bonker/B000620,Representative Don Bonker,(1937 - ),In Congress 1975 - 1989,1403
https://www.congress.gov/member/jo-bonner/B001244,Representative Jo Bonner,(1959 - ),In Congress 2003 - 2013,1070
https://www.congress.gov/member/mary-bono-mack/B001228,Representative Mary Bono Mack,(1961 - ),In Congress 1997 - 2013,1674
https://www.congress.gov/member/sonny-bono/B000622,Representative Sonny Bono,(1935 - 1998),In Congress 1995 - 1999,359
https://www.congress.gov/member/cory-booker/B001288,Senator Cory A. Booker,(1969 - ),In Congress 2013 - Present |,2401
https://www.congress.gov/member/john-boozman/B001236,Senator John Boozman,(1950 - ),In Congress 2001 - Present |,3486
https://www.congress.gov/member/madeleine-bordallo/B001245,Delegate Madeleine Z. Bordallo,(1933 - ),In Congress 2003 - 2019,3665
https://www.congress.gov/member/dan-boren/B001254,Representative Dan Boren,(1973 - ),In Congress 2005 - 2013,1254
https://www.congress.gov/member/david-boren/B000639,Senator David L. Boren,(1941 - ),In Congress 1979 - 1995,2898
https://www.congress.gov/member/robert-borski/B000644,Representative Robert A. Borski,(1948 - ),In Congress 1983 - 2003,3238
https://www.congress.gov/member/rudolf-boschwitz/B000647,Senator Rudy Boschwitz,(1930 - ),In Congress 1979 - 1991,2601
